ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD),type_of_engine,engine_capacity,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price (AUD)
3363636,imported,new car,suv,0,green,brown,5,5,Hybrid	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8HV 2023,37894.82122,hybrid,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,,0.017333333276911007
3366136,domestic assembly,new car,sedan,0,grey,black,4,5,Petrol	2.0 L,nan,automatic,fwd - front-wheel drive,,mazda,6,2023.0,Mazda 6 Luxury 2.0 AT 2023,31943.39097,petrol,2.0,0.15079365079365079,0.07407407407407407,0.10638297872340426,,0.014611111057434456
3366155,imported,new car,sedan,0,brown,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,mazda,2,2023.0,Mazda 2 1.5 AT 2023,17247.00197,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.007888888834991246
3366344,imported,new car,suv,0,red,black,5,5,Petrol	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8V 2023,34817.89129,petrol,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,,0.01592592586871389
3367311,imported,new car,suv,0,white,brown,5,5,Petrol	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8V 2023,34251.08841,petrol,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,,0.015666666610151744
3367980,imported,new car,suv,0,green,brown,5,5,Petrol	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8V 2023,34251.08841,petrol,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,,0.015666666610151744
3367997,imported,new car,suv,0,green,red,5,5,Petrol	1.8 L,nan,automatic,fwd - front-wheel drive,7.0,toyota,corolla cross,2022.0,Toyota Corolla Cross 1.8V 2022,34817.89129,petrol,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,3.5e-05,0.01592592586871389
3371285,imported,new car,hatchback,0,orange,black,5,5,Petrol	1.6 L,nan,automatic,fwd - front-wheel drive,6.0,volkswagen,polo,2022.0,Volkswagen Polo 1.6 AT 2022,28137.71448,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,3e-05,0.012870370316800299
3371316,imported,new car,hatchback,0,brown,black,5,5,Petrol	1.6 L,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,volkswagen,polo,2022.0,Volkswagen Polo 1.6 AT 2022,28137.71448,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,3e-05,0.012870370316800299
3371409,imported,new car,hatchback,0,green,brown,5,5,Petrol	1.6 L,"turbocharged, direct fuel injection",automatic,fwd - front-wheel drive,6.0,volkswagen,polo,2022.0,Volkswagen Polo 1.6 AT 2022,28137.71448,petrol,1.6,0.11904761904761905,0.09259259259259259,0.10638297872340426,3e-05,0.012870370316800299
3371546,imported,new car,suv,0,red,brown,5,5,Petrol	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8V 2023,34251.08841,petrol,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,,0.015666666610151744
3371620,imported,new car,suv,0,white,red,5,5,Hybrid	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8HV 2023,38664.05371,hybrid,1.8,0.1349206349206349,0.09259259259259259,0.10638297872340426,,0.017685185132390834
3371646,domestic assembly,new car,suv,0,white,black,5,7,Diesel	2.4 L,nan,automatic,rfd - rear-wheel drive,6.0,toyota,fortuner,2023.0,Toyota Fortuner 2.4G 4x2 AT Legender 2023,40485.92011,diesel,2.4,0.18253968253968253,0.09259259259259259,0.14893617021276595,3e-05,0.01851851846348343
3372188,imported,new car,suv,0,red,colorful,5,7,Petrol	2.0 L,"turbocharged, direct fuel injection",automatic,awd - 4-wheel drive (awd),7.0,volkswagen,tiguan,2022.0,Volkswagen Tiguan Luxury S 2022,40485.92011,petrol,2.0,0.15079365079365079,0.09259259259259259,0.14893617021276595,3.5e-05,0.01851851846348343
